species,non_dreaming,dreaming,MLE,gestation,predation,exposure,log_body,log_brain
Africanelephant,NA,NA,38.6,645,Med,High,8.802973457,8.650324504
Africangiantpouchedrat,6.3,2,4.5,42,Med,Low,0,1.887069649
ArcticFox,NA,NA,14,60,Low,Low,1.219353906,3.795489189
Arcticgroundsquirrel,NA,NA,NA,25,High,Low,-0.083381609,1.740466175
Baboon,9.1,0.7,27,180,High,High,2.35612586,5.190175208
Bigbrownbat,15.8,3.9,19,35,Low,Low,-3.772261063,-1.203972804
Braziliantapir,5.2,1,30.4,392,High,High,5.075173815,5.129898715
Cat,10.9,3.6,28,63,Low,Low,1.193922468,3.242592351
Chimpanzee,8.3,1.4,50,230,Low,Low,3.954315918,6.086774727
Chinchilla,11,1.5,7,112,High,High,-0.85566611,1.85629799
Cow,3.2,0.7,30,281,High,High,6.142037406,6.047372179
Deserthedgehog,7.6,2.7,NA,NA,Med,Low,-0.597837001,0.875468737
Donkey,NA,NA,40,365,High,High,5.231643233,6.03787092
EasternAmericanmole,6.3,2.1,3.5,42,Low,Low,-2.590267165,0.182321557
Europeanhedgehog,6.6,4.1,6,42,Med,Low,-0.242071561,1.252762968
Galago,9.5,1.2,10.4,120,Med,Low,-1.609437912,1.609437912
Genet,4.8,1.3,34,NA,Low,Low,0.343589704,2.862200881
Giantarmadillo,12,6.1,7,NA,Low,Low,4.094344562,4.394449155
Giraffe,NA,0.3,28,400,High,High,6.270988432,6.522092798
Goat,3.3,0.5,20,148,High,High,3.319987326,4.744932128
Goldenhamster,11,3.4,3.9,16,Med,Low,-2.120263536,0
Gorilla,NA,NA,39.3,252,Low,High,5.332718793,6.00635316
Grayseal,4.7,1.5,41,310,Low,High,4.442651256,5.783825182
Graywolf,NA,NA,16.2,63,Low,Low,3.592643846,4.783316371
Groundsquirrel,10.4,3.4,9,28,High,Low,-2.292634762,1.386294361
Guineapig,7.4,0.8,7.6,68,High,High,0.039220713,1.704748092
Horse,2.1,0.8,46,336,High,High,6.255750042,6.484635236
Jaguar,NA,NA,22.4,100,Low,Low,4.605170186,5.056245805
Kangaroo,NA,NA,16.3,33,Med,High,3.555348061,4.025351691
Lessershort-tailedshrew,7.7,1.4,2.6,21.5,High,Low,-5.298317367,-1.966112856
Littlebrownbat,17.9,2,24,50,Low,Low,-4.605170186,-1.386294361
Molerat,8.2,2.4,NA,30,Med,Low,-2.103734234,1.098612289
Mountainbeaver,8.4,2.8,NA,45,Med,Low,0.300104592,2.091864062
Mouse,11.9,1.3,3.2,19,High,Low,-3.772261063,-0.916290732
Muskshrew,10.8,2,2,30,High,Low,-3.036554268,-1.108662625
NAmericanopossum,13.8,5.6,5,12,Med,Low,0.530628251,1.840549633
Nine-bandedarmadillo,14.3,3.1,6.5,120,Med,Low,1.252762968,2.379546134
Okapi,NA,1,23.6,440,High,High,5.521460918,6.194405391
Owlmonkey,15.2,1.8,12,140,Med,Low,-0.733969175,2.740840024
Patasmonkey,10,0.9,20.2,170,High,High,2.302585093,4.744932128
Phanlanger,11.9,1.8,13,17,Med,Low,0.482426149,2.433613355
Pig,6.5,1.9,27,115,High,High,5.257495372,5.192956851
Rabbit,7.5,0.9,18,31,High,High,0.916290732,2.493205453
Raccoon,NA,NA,13.7,63,Med,Low,1.455820424,3.668676747
Rat,10.6,2.6,4.7,21,Med,Low,-1.272965676,0.641853886
Redfox,7.4,2.4,9.8,52,Low,Low,1.443383328,3.919991175
Rhesusmonkey,8.4,1.2,29,164,Med,High,1.916922612,5.187385806
Rockhyrax(Heterob),5.7,0.9,7,225,Med,Low,-0.287682072,2.509599262
Rockhyrax(Procaviahab),4.9,0.5,6,225,Med,Low,1.280933845,3.044522438
Roedeer,NA,NA,17,150,High,High,2.696652156,4.587006215
Sheep,3.2,0.6,20,151,High,High,4.016383021,5.164785974
Slowloris,NA,NA,12.7,90,Med,Low,0.336472237,2.525728644
Starnosedmole,8.1,2.2,3.5,NA,Med,Low,-2.813410717,0
Tenrec,11,2.3,4.5,60,Med,Low,-0.105360516,0.955511445
Treehyrax,4.9,0.5,7.5,200,Med,Low,0.693147181,2.509599262
Treeshrew,13.2,2.6,2.3,46,Med,Low,-2.26336438,0.916290732
Vervet,9.7,0.6,24,210,High,High,1.432700734,4.060443011
Wateropossum,12.8,6.6,3,14,Med,Low,1.252762968,1.360976553
Yellow-belliedmarmot,NA,NA,13,38,Med,Low,1.398716881,2.833213344
